Names: Derek Hildebrandt, Jesus Gonzalez, Christianna Powell
Group: Group 3
Date: June 18, 2015
SectionB: DA Pattern Matching - Genes
Gene 207: Start: 27736 End: 27763 

Gene 208: Start: 27769 End: 27892 

Gene 209: Start: 27939 End: 28272 

Gene 210: Start: 28316 End: 28427 

Gene 211: Start: 28486 End: 28501 

Gene 212: Start: 28585 End: 28894 

Gene 213: Start: 28911 End: 28956 

Gene 214: Start: 29020 End: 29185 

Gene 215: Start: 29195 End: 29201 

Gene 216: Start: 29258 End: 29327 

Gene 217: Start: 29339 End: 29381 

Gene 218: Start: 29406 End: 29493 

Gene 219: Start: 29502 End: 29589 

Gene 220: Start: 29633 End: 29654 

Gene 221: Start: 29856 End: 29940 

Gene 222: Start: 30157 End: 30160 

Gene 223: Start: 30372 End: 30471 

Gene 224: Start: 30600 End: 30609 

Gene 225: Start: 30628 End: 30724 

Gene 226: Start: 30817 End: 30820 

Gene 227: Start: 30864 End: 30897 

Gene 228: Start: 30909 End: 30915 

Gene 229: Start: 30923 End: 30971 

Gene 230: Start: 31012 End: 31081 

Gene 231: Start: 31172 End: 31214 

Gene 232: Start: 31300 End: 31306 

Gene 233: Start: 31330 End: 31450 

Gene 234: Start: 31537 End: 31615 

Gene 235: Start: 31651 End: 31663 

Gene 236: Start: 31681 End: 31717 

Gene 237: Start: 31865 End: 31904 

Gene 238: Start: 31957 End: 32341 

Gene 239: Start: 32388 End: 32520 

Gene 240: Start: 32553 End: 32670 

Gene 241: Start: 32709 End: 32775 

Gene 242: Start: 33002 End: 33173 

Gene 243: Start: 33224 End: 33239 

Gene 244: Start: 33314 End: 33326 

Gene 245: Start: 33536 End: 33632 

Gene 246: Start: 33669 End: 33714 

Gene 247: Start: 33767 End: 33815 

Gene 248: Start: 33845 End: 33857 

Gene 249: Start: 34169 End: 34265 

Gene 250: Start: 34316 End: 34358 

Gene 251: Start: 34758 End: 34959 

Gene 252: Start: 34973 End: 35024 

Gene 253: Start: 35099 End: 35264 

Gene 254: Start: 35558 End: 35624 

Gene 255: Start: 35627 End: 35837 

Gene 256: Start: 35912 End: 35996 

Gene 257: Start: 36023 End: 36029 

Gene 258: Start: 36050 End: 36053 

Gene 259: Start: 36102 End: 36180 

Gene 260: Start: 36444 End: 36453 

Gene 261: Start: 36491 End: 36584 

Gene 262: Start: 36614 End: 36638 

Gene 263: Start: 36672 End: 36714 

Gene 264: Start: 36723 End: 36732 

Gene 265: Start: 36791 End: 36863 

Gene 266: Start: 37055 End: 37088 

Gene 267: Start: 37119 End: 37131 

Gene 268: Start: 37250 End: 37319 

Gene 269: Start: 37472 End: 37541 

Gene 270: Start: 37905 End: 38022 

Gene 271: Start: 38049 End: 38085 

Gene 272: Start: 38420 End: 38621 

Gene 273: Start: 38660 End: 38759 

Gene 274: Start: 38814 End: 38862 

Gene 275: Start: 38925 End: 39015 

Gene 276: Start: 39020 End: 39026 

Gene 277: Start: 39300 End: 39336 

Gene 278: Start: 39540 End: 39759 

Gene 279: Start: 39765 End: 39891 

Gene 280: Start: 39917 End: 39953 

Gene 281: Start: 39971 End: 39974 

Gene 282: Start: 39989 End: 40064 

Gene 283: Start: 40235 End: 40367 

Gene 284: Start: 40527 End: 40620 

Gene 285: Start: 40730 End: 40751 

Gene 286: Start: 40782 End: 40884 

Gene 287: Start: 40911 End: 40959 

Gene 288: Start: 41033 End: 41195 

Gene 289: Start: 41312 End: 41552 

Gene 290: Start: 41612 End: 41648 

Gene 291: Start: 41662 End: 41674 

Gene 292: Start: 41836 End: 41863 

Gene 293: Start: 41866 End: 41974 

Gene 294: Start: 42028 End: 42061 

Gene 295: Start: 42073 End: 42196 

Gene 296: Start: 42236 End: 42269 

Gene 297: Start: 42294 End: 42366 

Gene 298: Start: 42485 End: 42527 

Gene 299: Start: 42606 End: 42627 

Gene 300: Start: 42678 End: 42735 

Gene 301: Start: 42847 End: 42865 

Gene 302: Start: 42876 End: 42945 

Gene 303: Start: 42979 End: 42982 

Gene 304: Start: 43007 End: 43022 

Gene 305: Start: 43065 End: 43245 

Gene 306: Start: 43286 End: 43412 

Gene 307: Start: 43416 End: 43713 

Gene 308: Start: 43799 End: 43826 

Gene 309: Start: 43854 End: 43938 

Gene 310: Start: 43965 End: 43992 

Gene 311: Start: 44037 End: 44079 

Gene 312: Start: 44146 End: 44269 

Gene 313: Start: 44272 End: 44338 

Gene 314: Start: 44513 End: 44537 

Gene 315: Start: 44638 End: 44641 

Gene 316: Start: 44674 End: 44707 

Gene 317: Start: 44713 End: 44722 

Gene 318: Start: 44843 End: 44912 

Gene 319: Start: 44929 End: 44944 

Gene 320: Start: 44955 End: 45003 

Gene 321: Start: 45044 End: 45089 

Gene 322: Start: 45104 End: 45305 

Gene 323: Start: 45374 End: 45542 

Gene 324: Start: 45600 End: 45666 

Gene 325: Start: 45770 End: 45776 

Gene 326: Start: 45974 End: 46016 

Gene 327: Start: 46033 End: 46114 

Gene 328: Start: 46303 End: 46357 

Gene 329: Start: 46373 End: 46439 

Gene 330: Start: 46447 End: 46498 

Gene 331: Start: 46511 End: 46544 

Gene 332: Start: 46562 End: 46622 

Gene 333: Start: 46782 End: 46818 

Gene 334: Start: 46821 End: 46908 

Gene 335: Start: 46951 End: 47041 

Gene 336: Start: 47174 End: 47264 

Gene 337: Start: 47357 End: 47411 

Gene 338: Start: 47470 End: 47560 

Gene 339: Start: 47662 End: 47701 

Gene 340: Start: 47873 End: 47897 

Gene 341: Start: 47906 End: 48005 

Gene 342: Start: 48009 End: 48039 

Gene 343: Start: 48053 End: 48092 

Gene 344: Start: 48155 End: 48293 

Gene 345: Start: 48304 End: 48535 

Gene 346: Start: 48609 End: 48711 

Gene 347: Start: 48771 End: 48783 

Gene 348: Start: 48865 End: 48970 

Gene 349: Start: 49007 End: 49049 

Gene 350: Start: 49115 End: 49139 

Gene 351: Start: 49146 End: 49170 

Gene 352: Start: 49361 End: 49502 

Gene 353: Start: 49520 End: 49526 

Gene 354: Start: 49713 End: 49914 

Gene 355: Start: 50116 End: 50122 

Gene 356: Start: 50185 End: 50218 

Gene 357: Start: 50232 End: 50280 

Gene 358: Start: 50314 End: 50317 

Gene 359: Start: 50341 End: 50350 

Gene 360: Start: 50404 End: 50521 

Gene 361: Start: 50615 End: 50624 

Gene 362: Start: 50922 End: 50928 

Gene 363: Start: 51277 End: 51349 

Gene 364: Start: 51452 End: 51461 

Gene 365: Start: 51479 End: 51566 

Gene 366: Start: 51570 End: 51588 

Gene 367: Start: 51639 End: 51660 

Gene 368: Start: 51667 End: 51685 

Gene 369: Start: 51746 End: 51761 

Gene 370: Start: 51804 End: 51924 

Gene 371: Start: 51997 End: 52057 

Gene 372: Start: 52115 End: 52226 

Gene 373: Start: 52237 End: 52321 

Gene 374: Start: 52430 End: 52451 

Gene 375: Start: 52474 End: 52549 

Gene 376: Start: 52581 End: 52638 

Gene 377: Start: 52846 End: 52882 

Gene 378: Start: 52919 End: 52964 

Gene 379: Start: 52996 End: 53017 

Gene 380: Start: 53024 End: 53144 

Gene 381: Start: 53188 End: 53578 

Gene 382: Start: 53683 End: 53836 

Gene 383: Start: 53866 End: 53872 

Gene 384: Start: 53882 End: 54089 

Gene 385: Start: 54095 End: 54107 

Gene 386: Start: 54205 End: 54292 

Gene 387: Start: 54362 End: 54428 

Gene 388: Start: 54434 End: 54455 

Gene 389: Start: 54546 End: 54603 

Gene 390: Start: 54676 End: 54817 

Gene 391: Start: 54893 End: 54953 

Gene 392: Start: 54989 End: 55145 

Gene 393: Start: 55238 End: 55331 

Gene 394: Start: 55449 End: 55491 

Gene 395: Start: 55587 End: 55791 

Gene 396: Start: 55836 End: 55902 

Gene 397: Start: 56071 End: 56107 

Gene 398: Start: 56163 End: 56286 

Gene 399: Start: 56496 End: 56550 

Gene 400: Start: 56588 End: 56684 

Gene 401: Start: 56771 End: 56903 

Gene 402: Start: 56928 End: 56943 

Gene 403: Start: 57249 End: 57303 

Gene 404: Start: 57366 End: 57507 

Gene 405: Start: 57547 End: 57568 

Gene 406: Start: 57660 End: 57681 

Gene 407: Start: 57695 End: 57773 

Gene 408: Start: 57827 End: 57890 

Gene 409: Start: 57951 End: 57972 

Gene 410: Start: 58106 End: 58208 

Gene 411: Start: 58244 End: 58328 

Gene 412: Start: 58489 End: 58642 

Gene 413: Start: 58645 End: 58660 

Gene 414: Start: 58669 End: 58708 

Gene 415: Start: 58759 End: 58771 

Gene 416: Start: 58807 End: 58879 

Gene 417: Start: 58922 End: 58970 

Gene 418: Start: 58990 End: 59050 

Gene 419: Start: 59213 End: 59225 

Gene 420: Start: 59262 End: 59286 

Gene 421: Start: 59400 End: 59424 

Gene 422: Start: 59483 End: 59492 

Gene 423: Start: 59551 End: 59578 

Gene 424: Start: 59629 End: 59635 

Gene 425: Start: 59642 End: 59732 

Gene 426: Start: 59821 End: 59896 

Gene 427: Start: 59925 End: 60192 

Gene 428: Start: 60211 End: 60244 

Gene 429: Start: 60262 End: 60280 

Gene 430: Start: 60555 End: 60573 

Gene 431: Start: 60583 End: 60586 

Gene 432: Start: 60677 End: 60698 

Gene 433: Start: 60729 End: 60756 

Gene 434: Start: 60769 End: 60775 

Gene 435: Start: 60778 End: 60787 

Gene 436: Start: 60819 End: 60828 

Gene 437: Start: 60877 End: 60991 

Gene 438: Start: 61015 End: 61075 

Gene 439: Start: 61113 End: 61383 

Gene 440: Start: 61433 End: 61544 

Gene 441: Start: 61609 End: 61666 

Gene 442: Start: 61690 End: 61765 

Gene 443: Start: 61774 End: 61804 

Gene 444: Start: 61845 End: 61890 

Gene 445: Start: 61897 End: 61996 

Gene 446: Start: 62034 End: 62100 

Gene 447: Start: 62302 End: 62353 

Gene 448: Start: 62389 End: 62674 

Gene 449: Start: 62728 End: 62764 

Gene 450: Start: 62909 End: 62963 

Gene 451: Start: 63041 End: 63107 

Gene 452: Start: 63141 End: 63165 

Gene 453: Start: 63209 End: 63212 

Gene 454: Start: 63238 End: 63268 

Gene 455: Start: 63323 End: 63341 

Gene 456: Start: 63615 End: 63651 

Gene 457: Start: 63745 End: 63895 

Gene 458: Start: 64044 End: 64059 

Gene 459: Start: 64084 End: 64117 

Gene 460: Start: 64170 End: 64266 

Gene 461: Start: 64297 End: 64345 

Gene 462: Start: 64365 End: 64536 

Gene 463: Start: 64604 End: 64625 

Gene 464: Start: 64667 End: 64808 

Gene 465: Start: 64828 End: 64831 

Gene 466: Start: 65089 End: 65113 

Gene 467: Start: 65292 End: 65313 

Gene 468: Start: 65358 End: 65385 

Gene 469: Start: 65543 End: 65579 

Gene 470: Start: 65602 End: 65614 

Gene 471: Start: 65768 End: 65771 

Gene 472: Start: 65789 End: 65960 

Gene 473: Start: 66155 End: 66167 

Gene 474: Start: 66219 End: 66273 

Gene 475: Start: 66280 End: 66409 

Gene 476: Start: 66443 End: 66452 

Gene 477: Start: 66597 End: 66663 

Gene 478: Start: 66668 End: 66683 

Gene 479: Start: 66841 End: 66868 

Gene 480: Start: 67053 End: 67158 

Gene 481: Start: 67161 End: 67257 

Gene 482: Start: 67286 End: 67325 

Gene 483: Start: 67333 End: 67336 

Gene 484: Start: 67378 End: 67423 

Gene 485: Start: 67570 End: 67624 

Gene 486: Start: 67630 End: 67762 

Gene 487: Start: 67789 End: 67990 

Gene 488: Start: 68039 End: 68078 

Gene 489: Start: 68278 End: 68401 

Gene 490: Start: 68427 End: 68508 

Gene 491: Start: 68585 End: 68588 

Gene 492: Start: 68688 End: 68820 

Gene 493: Start: 68840 End: 68891 

Gene 494: Start: 68930 End: 68936 

Gene 495: Start: 68944 End: 69001 

Gene 496: Start: 69071 End: 69101 

Gene 497: Start: 69134 End: 69149 

Gene 498: Start: 69223 End: 69232 

Gene 499: Start: 69246 End: 69333 

Gene 500: Start: 69350 End: 69470 

Gene 501: Start: 69542 End: 69608 

Gene 502: Start: 69845 End: 69938 

Gene 503: Start: 70137 End: 70185 

Gene 504: Start: 70195 End: 70207 

Gene 505: Start: 70218 End: 70236 

Gene 506: Start: 70469 End: 70487 

Gene 507: Start: 70567 End: 70612 

Gene 508: Start: 70714 End: 70723 

Gene 509: Start: 70813 End: 70948 

Gene 510: Start: 71041 End: 71152 

Gene 511: Start: 71189 End: 71237 

Gene 512: Start: 71263 End: 71296 

Gene 513: Start: 71333 End: 71507 

Gene 514: Start: 71669 End: 71690 

Gene 515: Start: 71707 End: 71746 

Gene 516: Start: 71894 End: 71933 

Gene 517: Start: 72174 End: 72288 

Gene 518: Start: 72425 End: 72461 

Gene 519: Start: 72552 End: 72660 

Gene 520: Start: 72791 End: 72827 

Gene 521: Start: 72839 End: 72896 

Gene 522: Start: 72932 End: 73160 

Gene 523: Start: 73169 End: 73175 

Gene 524: Start: 73194 End: 73245 

Gene 525: Start: 73285 End: 73381 

Gene 526: Start: 73398 End: 73440 

Gene 527: Start: 73645 End: 73735 

Gene 528: Start: 73765 End: 73837 

Gene 529: Start: 73867 End: 73969 

Gene 530: Start: 74002 End: 74059 

Gene 531: Start: 74158 End: 74212 

Gene 532: Start: 74243 End: 74276 

Gene 533: Start: 74294 End: 74306 

Gene 534: Start: 74381 End: 74420 

Gene 535: Start: 74487 End: 74514 

Gene 536: Start: 74527 End: 74566 

Gene 537: Start: 74580 End: 74829 

Gene 538: Start: 74833 End: 74839 

Gene 539: Start: 74875 End: 74917 

Gene 540: Start: 74942 End: 74957 

Gene 541: Start: 74982 End: 75015 

Gene 542: Start: 75022 End: 75079 

Gene 543: Start: 75195 End: 75420 

Gene 544: Start: 75428 End: 75593 

Gene 545: Start: 75683 End: 75686 

Gene 546: Start: 75707 End: 75722 

Gene 547: Start: 75746 End: 75776 

Gene 548: Start: 75816 End: 75948 

Gene 549: Start: 76029 End: 76086 

Gene 550: Start: 76092 End: 76230 

Gene 551: Start: 76250 End: 76385 

Gene 552: Start: 76521 End: 76524 

Gene 553: Start: 76728 End: 76782 

Gene 554: Start: 76878 End: 76893 

Gene 555: Start: 76962 End: 77004 

Gene 556: Start: 77051 End: 77066 

Gene 557: Start: 77258 End: 77381 

Gene 558: Start: 77406 End: 77631 

Gene 559: Start: 77835 End: 77850 

Gene 560: Start: 77883 End: 77955 

Gene 561: Start: 78021 End: 78036 

Gene 562: Start: 78419 End: 78479 

Gene 563: Start: 78738 End: 78840 

Gene 564: Start: 78855 End: 78933 

Gene 565: Start: 79140 End: 79146 

Gene 566: Start: 79200 End: 79443 

Gene 567: Start: 79487 End: 79517 

Gene 568: Start: 79551 End: 79671 

Gene 569: Start: 79769 End: 79832 

Gene 570: Start: 79872 End: 80115 

Gene 571: Start: 80250 End: 80316 

Gene 572: Start: 80363 End: 80390 

Gene 573: Start: 80765 End: 80843 

Gene 574: Start: 80883 End: 80886 

Gene 575: Start: 81090 End: 81351 

Gene 576: Start: 81447 End: 81504 

Gene 577: Start: 81659 End: 81728 

Gene 578: Start: 81762 End: 81771 

Gene 579: Start: 81779 End: 81782 

Gene 580: Start: 81809 End: 81878 

Gene 581: Start: 81897 End: 81966 

Gene 582: Start: 82028 End: 82064 

Gene 583: Start: 82107 End: 82251 

Gene 584: Start: 82266 End: 82281 

Gene 585: Start: 82299 End: 82329 

Gene 586: Start: 82485 End: 82602 

Gene 587: Start: 82874 End: 82934 

Gene 588: Start: 82956 End: 82977 

Gene 589: Start: 82988 End: 83123 

Gene 590: Start: 83300 End: 83324 

Gene 591: Start: 83399 End: 83411 

Gene 592: Start: 83469 End: 83478 

Gene 593: Start: 83501 End: 83513 

Gene 594: Start: 83559 End: 83577 

Gene 595: Start: 83607 End: 83733 

Gene 596: Start: 83759 End: 83771 

Gene 597: Start: 83907 End: 84000 

Gene 598: Start: 84276 End: 84345 

Gene 599: Start: 84362 End: 84392 

Gene 600: Start: 84452 End: 84512 

Gene 601: Start: 84570 End: 84603 

Gene 602: Start: 84734 End: 84812 

Gene 603: Start: 84875 End: 84926 

Gene 604: Start: 84939 End: 84960 

Gene 605: Start: 85001 End: 85025 

Gene 606: Start: 85397 End: 85655 

Gene 607: Start: 85727 End: 85829 

Gene 608: Start: 85998 End: 86037 

Gene 609: Start: 86103 End: 86226 

Gene 610: Start: 86294 End: 86321 

Gene 611: Start: 86325 End: 86373 

Gene 612: Start: 86501 End: 86528 

Gene 613: Start: 86594 End: 86630 

Gene 614: Start: 86718 End: 86781 

Gene 615: Start: 86820 End: 86823 

Gene 616: Start: 86856 End: 86955 

Gene 617: Start: 86988 End: 87066 

Gene 618: Start: 87281 End: 87335 

Gene 619: Start: 87369 End: 87393 

Gene 620: Start: 87408 End: 87450 

Gene 621: Start: 87459 End: 87486 

Gene 622: Start: 88074 End: 88086 

Gene 623: Start: 88119 End: 88185 

Gene 624: Start: 88218 End: 88284 

Gene 625: Start: 88352 End: 88412 

Gene 626: Start: 88581 End: 88584 

Gene 627: Start: 88667 End: 88736 

Gene 628: Start: 88827 End: 88863 

Gene 629: Start: 88899 End: 88932 

Gene 630: Start: 89127 End: 89190 

Gene 631: Start: 89226 End: 89304 

Gene 632: Start: 89387 End: 89405 

Gene 633: Start: 89465 End: 89504 

Gene 634: Start: 89714 End: 89831 

Gene 635: Start: 89970 End: 90138 

Gene 636: Start: 90278 End: 90314 

Gene 637: Start: 90377 End: 90527 

Gene 638: Start: 90545 End: 90695 

Gene 639: Start: 90723 End: 90744 

Gene 640: Start: 90801 End: 90822 

Gene 641: Start: 90888 End: 90945 

Gene 642: Start: 91032 End: 91041 

Gene 643: Start: 91289 End: 91349 

Gene 644: Start: 91442 End: 91472 

Gene 645: Start: 91491 End: 91584 

Gene 646: Start: 91658 End: 91718 

Gene 647: Start: 91751 End: 91937 

Gene 648: Start: 91958 End: 91991 

Gene 649: Start: 92061 End: 92064 

Gene 650: Start: 92130 End: 92232 

Gene 651: Start: 92348 End: 92396 

Gene 652: Start: 92556 End: 92559 

Gene 653: Start: 92615 End: 92624 

Gene 654: Start: 92748 End: 92772 

Gene 655: Start: 92850 End: 92886 

Gene 656: Start: 92894 End: 92999 

Gene 657: Start: 93231 End: 93282 

Gene 658: Start: 93374 End: 93458 

Gene 659: Start: 93690 End: 93813 

Gene 660: Start: 93918 End: 93987 

